epoch,train_loss,val_loss,val_f1,val_iou,time_sec
1,1.6211123027801513,1.5999178218841552,0.0,0.0,140.574534
2,1.4994330139160157,1.4960663557052611,0.0,0.0,140.421994
3,1.4352089738845826,1.4170234727859496,0.0,0.0,140.595755
4,1.3826441707611083,1.3628710222244262,0.0,0.0,143.150466
5,1.336879056930542,1.3124494647979736,0.0,0.0,144.583199
6,1.29621790599823,1.2729173707962036,0.0,0.0,317.247113
7,1.260288821220398,1.2421653079986572,0.0,0.0,145.843331
8,1.2289916105270386,1.2139065313339232,0.0,0.0,146.255387
9,1.2017395420074464,1.1888890266418457,0.0,0.0,145.00096
